input|output
  Seriously, man! There must be an enchantment on the house or somethin'!| I'm not playing you child-style games, guy. Watch and learn as I master... reality. 
  NOOOOO!!|  AAAAH!!!  Ah! Ah! Ah! Ah! Jake! What the hey-hey?!
  I was just playin' around with my imagination...  ...and then everything got intense.| It's like... whatever you imagine becomes real... That's bananas!
   Don't imagine blowin' apart my own brain... Don't imagine my eyeballs coming alive and flying around with rocket packs...| Dude! Imagine that BMO invented a better video game, and that he has new batteries.
  WHOA!| But first stop imagining lava!
  I can't! My imagination's too amazing!| Imagine turning your imagination off!
  I can't, dude... but I think I can imagine an imagination turning-off machine... that is upstairs, surrounded by a crud-load of traps, ghosts, monsters, and poison fountains, and... and... girls. Cute girls, and hamsters.| Can't you make it easier to get to that machine?
  You can't hold this baby back! That's bad parenting, mamma!| Then it's up to me to take your imagination downtown! Let's go to the den and suit up!
  Neat!  Grab that missile.| Okay.
  And... get that cosmic gauntlet.| Nah. There's a better one over by the desk. Ah! UNH!  What did I just hit?!
  I'm imagining a wall. You can just go around it.| Really? That's it? There isn't any invisible, angry troll or anything?
  Oh, there's one now.  Look out!| Aah! I can feel it on my foot!  I'll kill you, troll! Yah! Yah! Yah, yah, yah, yah!
  You're kickin' too high! He's shorter than you!| Yah, yah! 
  Alright! You're gettin' him, man!  Uh-oh. Now you're uppercutting his family.  Heh heh heh heh heh! You just kicked his wife in the face!  She's comin' back for revenge.| Cram this! We gotta book it to your imagination machine! Yah!
  The knife storm, remember?!?!  Oh, boy... Ooh... Finn, I found some candy.  It tastes like banana candy, man.  Here, man. Try some.|  Okay. Try to imagine some kind of steel umbrella over the bridge so... we don't get knifed.
  Okay!  It is done.|  Haha! Ha! Hey, you did it, man!
  No, voyagers. To pass this bridge, you must first pass the test of the riddle.|  An imaginary riddle master?
   An imaginary riddle master?|  Ask me your riddle, Riddle Master. I accept your test.
  Then brace yourself, fool, for this riddle comes from a mysterious, far-away land.|  LAY IT ON ME!!
  I can't imagine a riddle.| Dude, just make it super easy.
  THE RIDDLE COMETH! Tell me, voyager. What is simple, and yet also... a riddle?| Man, that riddle sucks.
  THAT IS THE WRONG ANSWER!! The penalty is... DEATH BY SNAKES!!| YEAH, RIGHT! I'VE GOT A MISSILE!!
  You exploded the snakes right at us!!| I can feel them all over my face! Imaginary poison coursing through my veins!!
  I'm sorry, brother! I'm so sorry!| Let's just get to your imagination machine and we'll be okay!!
 AAH! A big bowl of baby elephants, chainsaws, and doo-doo's flyin' towards us!! JUMP, DUDE!!  Here come's a soul-eater! Snap its neck!  The Bazooka Goblin has you in its sights!| Hey! Don't shoot us with that bazooka!
  Hey! Don't shoot us with that bazooka!| Don't you do it...
  Don't you do it...| DON'T DO IT, MAN!!!
  YEAH!| AW, YEAH!
  AW, YEAH!| Alright, use your powers or something. This poison is about to kill me.
  Alright. Goin' up. Check it. My imagination-off machine is left of the bed.| Is it clear?
  Yeah, I mean there's a bunch of cute girls... but they shouldn't bother you.| Oh! I found the shut-off lever!
  Cool, man!  Dang, girl. If you weren't a figment of my imagination, I'd want to have your baby.  What're you laughin' at?| Alright. I'm gonna turn it off.  UNH!! You said it was clear of danger!!
  Dude... I can't see anything... I must've imagined... an invisible monster!!| What?! Well, how do I kill it?! 
  I'm comin', buddy! Alright, Invisibo. Eat a piece of this!  Hurry, Finn! Get to the lever!| Okay! I'm doin' iiiit!!  Aw, yeah! The imaginary poison is gone, Jake! Jake?  Hey, come on. Wake up, man.
   Hello, Finn. I am awake and healthy.| Jake... what happened to your bombastic personality?
  I do not know what you mean. I am perfectly bombastic.| Nah, man, nah. Somethin's wrong. Tell me something amazing!
  But Finn, I cannot tell you something amazing as there is nothing amazing happening around us that I could describe for you.| Ah, see, man, you suck now! Crap, it's your imagination. You need that thing. 
  Ah, see, man, you suck now! Crap, it's your imagination. You need that thing. | Jake... Stop it, man. You're just playing one continuous note.
  One note is all that is needed.|  I'm gonna turn your imagination back on.  Jake! Your imagination on-off switch has vanished!
  True. Doth thou not remember shutting down mine imagination?| I remembereth.
  I am happy that my imagination is gone. It was purposeless.| No! It was the opposite of that stuff. I know this now...  ...only too late. Okay, man. I'm gonna try to imagine an imagination back-on switch for you, and so you know, if there's anything dainty inside my imagination, I'm gonna be mad. Imagination... go...  What the stuff? Well... this isn't so bad.  Nothing lame, at least. Hey! And there's Jake's imagination switch!
  No! It was the opposite of that stuff. I know this now...  ...only too late. Okay, man. I'm gonna try to imagine an imagination back-on switch for you, and so you know, if there's anything dainty inside my imagination, I'm gonna be mad. Imagination... go...  What the stuff? Well... this isn't so bad.  Nothing lame, at least. Hey! And there's Jake's imagination switch!|  Cram. Oh! Maybe I can try imagining something.  Now for that switch.
   Good morrow, sir! My name is Bellamy Bug! Would you care for a crotchet doily my daughter made? She imbued it with her tears. You see, she recently broke up with a gentle dandy.| No! How'd you get in my Imagination Land?!
   I don't know, my young fellow! You tell me. Perhaps I represent your secret desire to be civilized!| REPRESENT THIS!  And this. 
  Oh! I say! Oh! Ah! Ouch! Ah!| Haha... Penguins... Hahahaha! Heh, alright.  I hope this works, Jake!  Haha, yeah!  Hey! Get away from that! Don't push that hyper drive button! 
   Aaaah!! I can imagine EVERYTHING!!!|  Take a hike, fairy! Normal style! 
   Aw, man... I imagined my mom naked!  Yugh!| You okay?
  I think so. Lemme check. Mmmm... Yup. She's clothed now. And hey, man! It's clear out now! We can go on an adventure!| I don't know, dude. I think we got all the adventure we need right here...  with... lava on the floor!
  Huh?!  AAH! AAH! MY LEGS ARE MELTING! Just kidding. | Hahahaha! Good dog. 
  AAAAH!| Last chance, Swamp Giant! Tell us where you hid the Mini Queen!
  NEVER!!| Huh?  Hi, Mini Queen! Jake! I've got 'er!
  Aaaah! Oof!| My inflatable angel.
  Heh heh heh.  How's the Mini Queen?| I dunno. Can't understand a word she says.  Aww! My pleasure, ma'am! I just like beating up evil!  Okay... Didn't... catch any of that either.
   Mini Queen must've stepped in somethin' funky.  No... It's not tiny feet I'm smelling! This way!  Whoa!| What?
   Do you know whose sword this is?! This is the sword of Billy!| Billy?!
  Oh, yeah! Hahaha! He fought a bear!| This is so cool!
  Whoa!| It's Billy's legendary crack!
   Hello.|  It's him! It's him!!
  Yep. It's me.| Man! I'm such a huge nerd for you! Please take us on as hero apprentices!
  What for?| So that we could learn to kick evil's butt... just like you!
  Heh. See, that's where you're wrong... 'cuz watch!  Ah... ah...|" What do you mean, ""pointless?"" We just saved the Mini Queen from a monster!"
  Nonviolently. Help people by being active in your community.| Nonviolently??  I gotta try being nonviolent... the Billy way...
  Me, too!| Billy, I won't let you down!
  I love you, Billy! I got a secret crush on you, Billy!| This is gonna be tough, Jake. I'll have to suppress my every warrior instinct.
  Help! Help!  A monster!  Oh! Thank goodness! Heroes! I'm being chased by a horrible Dragon! Please, please help!| Oh, uh...
  No, but please! |  Dude. We gotta do something to help him.
  I could teach 'im how to not be such a spaz.|  Hey, Mister. Besides being chased by a monster, what else is wrong?
  AAAH!! NO!! HELP!!| I still feel weird about not fighting off that dragon.
   What's this all about?| Free gruel, ma'am. I can't beat monster butts, but I can beat your hungry guts. That's for sure!
  Hahaha!  I didn't throw up! This gruel is very adequate.|  YEAH!!!
   YEAH!!!| This is great, Jake!
  Yeah, we're really helpin' people!| Whoa! Look who it is!
  Oh, thank you!  Hahahaha! Hahaha.  AAAH! WHAT'S HAPPENING?!| Huh?  Oh, that's probably the stone skin potion I added to the recipe. It gives your body the power to grow armor.
  AAAAH!! MY TUMMY IS BREATHING FIRE!!!|  Geez... I thought people would like that.
  Why?! Why would anyone want that?!| So you can defend against evil monsters!
  You're supposed to beat up monsters so we don't have to defend ourselves!| No, see? I'm helping you nonviolently!
  Helping?! I can't even move my hands! I'm a cobbler! How'm I supposed to cobble with these useless chunk mitts?!| Sooo... the village needs the help of a new cobbler, eh?
  WHAT?! NO—| Alright! We're cobblers!
"   What does ""cobble"" mean, anyway?"| I think it has something to do with shoes...
   Excuse me! Can you help me? I need a broken heel fixed. I'm going to a fancy funeral.|  Of course I'll help!
   Of course I'll help!| There!  Whah!  Pa-kow!!
  Ah!| Now you can fight off evil if it shows up at the funeral!
   Did you fix that shoe with a magic nail?| Maybe...  Whoa!
   GET OUT!!| Apparently, I suck at being nonviolent.
"  Dude, suckin' at somethin' is the first step towards bein' sorta good at somethin'. You and I are like little baby Billys right now, and we're ""sucking"" on our first bottle of nonviolent milk!"|"  Totes. I'll stop ""pooping"" my diaper."
  HELP! I NEED MEDICAL HELP!!| Medical help? Hmmmmm...
  Medical help? Hmmmmm...| How can we help?
  I want surgery to make my body hot.| Yikes...
  Dude, did you use a magic nail again?| I've got three left!
  Ohhhh...  What did you do to me??| We transformed you into a cyborg fighter! That's hot, right?
  Huh?!| ...Jake...?
  ....Yeah...?| I think us being nonviolent... is hurting people. Man... Billy is gonna be so bummed out...
  Not if we run away, Finn! We'll have to live in halfway homes and be cannibals! We'll survive!| I just wanna sit here and moan.
  Then I'll moan with ya, buddy.|  Thaaaanks, buuuddy...
  Oooh!! Aaah!!| Huh?? A fist raised in righteous anger?! Oh, no! It's my fist!! I've gotta think of a way to save this old lady without punchin' this guy in the face!! Hmmm...
   Yeah, you wanna get ground up, right?!?|  WRONG!!!!   I couldn't think of anything...
  Whooo! | POOP!! I saved her with violence...
  What's your huff, son?| The greatest hero in the world told me to help people without being violent... and I promised I would do that and not let him down... but I did let 'im down.
  Stuff and nonsense! You sure helped this old gal out! And you did it with violence! Like a true hero, you were born to punch evil creatures!  Just like I was born to be an old lady! Don't deny your rowdy nature, paladins!  And don't take advice from old people! | Yeah... Yeah...! YEAH!! That old lady has a point!
  Wait, didn't she say not to take advice from old peo—| It's all so clear to me! Back to the cave of Billy!!
  Cha!!| It's us again.
  Aw, I don't—I don't wanna buy anything.| Billy, an old lady told me that I shouldn't listen to you because you're old. Also, that I should do what I was born to do... which is kickin' buns.
